메뉴종류,상호명,조회수,리뷰수
세계음식,썸머타이,34479,33
세계음식,베트남노상식당                                    (광운대점),6582,8
세계음식,하노이별,6479,10
세계음식,포앤반                                    (하계역점),1895,0
세계음식,알러이,2518,5
세계음식,올드델리                                    (노원점),7410,9
세계음식,72420                                    (노원점),759,2
세계음식,씬머이                                    (태릉본점),1554,1
세계음식,르번미                                    (태릉점),3651,5
세계음식,포베이                                    (석계역점),3707,4
세계음식,부리또인                                    (노원역점),7117,7
세계음식,포메인                                    (노원점),2569,1
세계음식,누들바,490,0
세계음식,바모스,1876,2
세계음식,포앤시드니                                    (중계점),1434,1
세계음식,포메인                                    (중계점),1816,0
세계음식,몽둥이부리또                                    (서울여대점),1250,0
세계음식,차차,264,0
세계음식,리틀방콕                                    (중계점),31,0
세계음식,수수타이,4,0
